cidade_slug,cidade_origem,tecnologia,mes_ref,total_vendedores,q1,q2,q3,q4,q5,sem_meta,atingimento_medio,quintil_cidade
pombal-pb,POMBAL/PB,ftth,2026-01-01,4,0,0,2,1,0,1,0.6878,3
pombal-pb,POMBAL/PB,5g,2026-01-01,4,0,0,0,3,0,1,0.4159,4
quixada-ce,QUIXADA/CE,ftth,2026-01-01,6,1,1,0,2,2,0,0.6157,3
quixada-ce,QUIXADA/CE,5g,2026-01-01,6,2,0,1,0,1,2,0.7571,3
quixeramobim-ce,QUIXERAMOBIM/CE,ftth,2026-01-01,6,2,0,2,0,2,0,0.7246,3
quixeramobim-ce,QUIXERAMOBIM/CE,5g,2026-01-01,6,1,0,1,0,0,4,0.8583,2
quixere-ce,QUIXERE/CE,ftth,2026-01-01,4,0,1,3,0,0,0,0.7667,3
quixere-ce,QUIXERE/CE,5g,2026-01-01,4,1,2,0,1,0,0,0.7625,3
rafael-fernandes-rn,RAFAEL FERNANDES/RN,ftth,2026-01-01,1,1,0,0,0,0,0,1,1
rafael-fernandes-rn,RAFAEL FERNANDES/RN,5g,2026-01-01,1,0,0,0,0,1,0,0,5
ribeira-do-pombal-ba,RIBEIRA DO POMBAL/BA,ftth,2026-01-01,2,0,1,0,0,0,1,0.9167,2
rio-largo-al,RIO LARGO/AL,ftth,2026-01-01,3,2,1,0,0,0,0,1.2796,1
russas-ce,RUSSAS/CE,ftth,2026-01-01,6,1,3,1,0,1,0,0.7593,3
russas-ce,RUSSAS/CE,5g,2026-01-01,6,3,1,0,1,1,0,0.8417,2
salgueiro-pe,SALGUEIRO/PE,ftth,2026-01-01,2,1,0,0,0,0,1,1.5833,1
salgueiro-pe,SALGUEIRO/PE,5g,2026-01-01,2,1,0,0,0,0,1,1.075,1
santa-cruz-do-capibaribe-pe,SANTA CRUZ DO CAPIBARIBE/PE,ftth,2026-01-01,1,1,0,0,0,0,0,1.8824,1
santa-luzia-pb,SANTA LUZIA/PB,ftth,2026-01-01,3,0,0,0,3,0,0,0.4935,4
santa-luzia-pb,SANTA LUZIA/PB,5g,2026-01-01,3,0,0,0,2,0,1,0.4032,4
santa-rita-pb,SANTA RITA/PB,ftth,2026-01-01,7,2,1,1,2,1,0,0.8119,2
