cidade_slug,cidade_origem,tecnologia,indicador_id,canal,mes_ref,semana_mes,primeiro_dia_semana,ultimo_dia_semana,valor
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,24
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,24
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,1
luis-correia-pi,LUIS CORREIA/PI,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,2
luis-correia-pi,LUIS CORREIA/PI,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,4
macaiba-rn,MACAIBA/RN,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,5
macaiba-rn,MACAIBA/RN,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,19
macaiba-rn,MACAIBA/RN,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,21
macaiba-rn,MACAIBA/RN,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,1
macau-rn,MACAU/RN,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,4
macau-rn,MACAU/RN,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,5
maceio-al,MACEIO/AL,5g,ativacao,AGENTE PARCEIROS,2025-09-01,2,2025-09-08,2025-09-14,1
madalena-ce,MADALENA/CE,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,3
major-sales-rn,MAJOR SALES/RN,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,3
major-sales-rn,MAJOR SALES/RN,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,1
malta-pb,MALTA/PB,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,4
mamanguape-pb,MAMANGUAPE/PB,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,25
mangabeira-rn,MANGABEIRA/RN,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,2
maracanau-ce,MARACANAU/CE,5g,ativacao,AGENTE PARCEIROS,2025-09-01,2,2025-09-08,2025-09-14,2
maracanau-ce,MARACANAU/CE,5g,ativacao,B2B,2025-09-01,2,2025-09-08,2025-09-14,3
maracanau-ce,MARACANAU/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,28
maracanau-ce,MARACANAU/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,39
maracanau-ce,MARACANAU/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,73
maracanau-ce,MARACANAU/CE,5g,ativacao,SEM NICHO,2025-09-01,2,2025-09-08,2025-09-14,2
maracanau-ce,MARACANAU/CE,5g,ativacao,VAREJO QUIOSQUE,2025-09-01,2,2025-09-08,2025-09-14,25
maracanau-ce,MARACANAU/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,27
maracanau-ce,MARACANAU/CE,5g,ativacao,VAREJO VOLANTE,2025-09-01,2,2025-09-08,2025-09-14,4
maranguape-ce,MARANGUAPE/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,9
maranguape-ce,MARANGUAPE/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,28
maranguape-ce,MARANGUAPE/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,25
maranguape-ce,MARANGUAPE/CE,5g,ativacao,VAREJO QUIOSQUE,2025-09-01,2,2025-09-08,2025-09-14,2
maranguape-ce,MARANGUAPE/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,6
marcelino-vieira-rn,MARCELINO VIEIRA/RN,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,17
marcelino-vieira-rn,MARCELINO VIEIRA/RN,5g,ativacao,VAREJO VOLANTE,2025-09-01,2,2025-09-08,2025-09-14,3
marco-ce,MARCO/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,5
mari-pb,MARI/PB,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,10
marizopolis-pb,MARIZOPOLIS/PB,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,9
martins-rn,MARTINS/RN,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,1
martins-rn,MARTINS/RN,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,2
martins-rn,MARTINS/RN,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,9
massape-ce,MASSAPE/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,17
massape-ce,MASSAPE/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,1
massape-ce,MASSAPE/CE,5g,ativacao,VAREJO VOLANTE,2025-09-01,2,2025-09-08,2025-09-14,1
mauriti-ce,MAURITI/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,1
mauriti-ce,MAURITI/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,8
meruoca-ce,MERUOCA/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,1
messias-targino-rn,MESSIAS TARGINO/RN,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,7
milagres-ce,MILAGRES/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,11
milagres-ce,MILAGRES/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,5
milagres-ce,MILAGRES/CE,5g,ativacao,SEM NICHO,2025-09-01,2,2025-09-08,2025-09-14,1
milha-ce,MILHA/CE,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,5
missao-velha-ce,MISSAO VELHA/CE,5g,ativacao,AGENTE PARCEIROS,2025-09-01,2,2025-09-08,2025-09-14,1
missao-velha-ce,MISSAO VELHA/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,11
missao-velha-ce,MISSAO VELHA/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,15
mombaca-ce,MOMBACA/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,1
mombaca-ce,MOMBACA/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,4
